ervaring,500_split,2k tijd,binary_trainingtype,binary_geslacht,binary_gewichtsklasse
1.0,95.7,390.4,111,0,1
1.0,94.4,390.4,111,0,1
1.0,94.1,390.4,111,0,1
1.0,95.8,390.4,111,0,1
1.0,95.2,390.4,111,0,1
1.0,93.3,390.4,111,0,1
1.0,91.0,371.8,111,0,1
1.0,90.8,371.8,111,0,1
1.0,90.5,371.8,111,0,1
1.0,90.8,371.8,111,0,1
1.0,90.7,371.8,111,0,1
1.0,90.7,371.8,111,0,1
1.0,92.6,389.4,111,0,1
1.0,92.7,389.4,111,0,1
1.0,93.1,389.4,111,0,1
1.0,92.9,389.4,111,0,1
1.0,93.2,389.4,111,0,1
1.0,94.9,389.4,111,0,1
1.0,94.8,381.6,1000,0,1
1.0,98.4,390.4,1000,0,1
1.0,93.0,371.8,1000,0,1
1.0,95.6,389.4,1000,0,1
1.0,118.6,381.6,10,0,1
1.0,120.3,381.6,10,0,1
1.0,120.6,381.6,10,0,1
1.0,123.3,390.4,10,0,1
1.0,131.4,390.4,10,0,1
1.0,129.0,390.4,10,0,1
1.0,117.1,371.8,10,0,1
1.0,124.6,371.8,10,0,1
1.0,125.5,371.8,10,0,1
1.0,126.4,389.4,10,0,1
1.0,129.3,389.4,10,0,1
1.0,126.2,389.4,10,0,1
1.0,84.0,381.6,1001,0,1
1.0,81.7,390.4,1001,0,1
1.0,83.7,371.8,1001,0,1
1.0,84.2,389.4,1001,0,1
1.0,95.4,381.6,1010,0,1
1.0,97.6,390.4,1010,0,1
1.0,98.5,394.1,1010,0,1
1.0,92.9,371.8,1010,0,1
1.0,97.4,389.4,1010,0,1
1.0,101.6,381.6,100,0,1
1.0,105.2,390.4,100,0,1
1.0,100.0,371.8,100,0,1
1.0,102.8,389.4,100,0,1
1.0,105.9,381.6,1011,0,1
1.0,106.0,371.8,1011,0,1
1.0,106.7,389.4,1011,0,1
0.0,104.6,390.7,11,0,1
0.0,107.7,390.7,11,0,1
0.0,108.3,390.7,11,0,1
0.0,107.8,398.7,11,0,1
0.0,108.2,398.7,11,0,1
0.0,108.9,398.7,11,0,1
0.0,112.7,400.9,11,0,1
0.0,113.5,400.9,11,0,1
0.0,111.9,400.9,11,0,1
0.0,115.0,407.8,11,0,1
0.0,113.0,407.8,11,0,1
0.0,112.2,407.8,11,0,1
0.0,100.8,390.7,11,0,1
0.0,106.1,390.7,11,0,1
0.0,105.6,390.7,11,0,1
0.0,103.0,398.7,11,0,1
0.0,108.0,398.7,11,0,1
0.0,107.0,398.7,11,0,1
